questao,True Grade,True Grade Normalized,o4-mini-high grade,o4-mini-high normalized grade,gemini-2.5-pro grade,gemini-2.5-pro normalized grade,gemini-2.5-flash grade,gemini-2.5-flash normalized grade,o4-mini-high-review grade,o4-mini-high-review normalized grade,gemini-2.5-pro-review grade,gemini-2.5-pro-review normalized grade,gemini-2.5-flash-review grade,gemini-2.5-flash-review normalized grade
1,1.8,0.9,1.6,0.8,1.7,0.85,1.8,0.9,1.75,0.875,1.95,0.975,1.7,0.85
2,0.8,0.4,0.6,0.3,0.4,0.2,0.3,0.15,0.5,0.25,0.5,0.25,0.4,0.2
3,1.3,0.325,1,0.25,1.6,0.4,2.1,0.525,1.7,0.425,1.3,0.325,1.5,0.375
4,0.4,0.2,0.9,0.45,0.7,0.35,0.8,0.4,0.5,0.25,0.5,0.25,0.5,0.25
1,0.7,0.35,0,0,1.4,0.7,1.45,0.725,0.25,0.125,1.35,0.675,1.7,0.85
2,0,0,0.1,0.05,0.4,0.2,0.3,0.15,0.08,0.04,0.15,0.075,0.3,0.15
3,0,0,0,0,0,0,1.1,0.275,0.15,0.0375,1.35,0.3375,0.7,0.175
4,0,0,0.2,0.1,0.1,0.05,0.3,0.15,0.3,0.15,0.3,0.15,0.3,0.15
1,2,1,1.8,0.9,2,1,1.8,0.9,0.95,0.475,2,1,1.7,0.85
2,1.4,0.7,0.7,0.35,0.6,0.3,1.5,0.75,0.35,0.175,0.5,0.25,0.65,0.325
3,3.5,0.875,3.4,0.85,3.4,0.85,3.8,0.95,3.1,0.775,3.4,0.85,3.4,0.85
4,2,1,1.6,0.8,1.6,0.8,1.7,0.85,2,1,1.8,0.9,2,1
1,2,1,0.65,0.325,2,1,1.6,0.8,0.8,0.4,1.45,0.725,2,1
2,1.6,0.8,1.1,0.55,0.9,0.45,1.45,0.725,0.5,0.25,1.15,0.575,1.15,0.575
3,4,1,3.4,0.85,3.3,0.825,2.7,0.675,2.8,0.7,2.4,0.6,2.3,0.575
4,0.4,0.2,0.4,0.2,0.4,0.2,0.95,0.475,0.5,0.25,1,0.5,0.5,0.25
1,1.2,0.6,1.75,0.875,1.5,0.75,1.7,0.85,1.6,0.8,1.15,0.575,1.5,0.75
2,0.4,0.2,0.4,0.2,0.75,0.375,0.4,0.2,0.3,0.15,0.3,0.15,0.3,0.15
3,0,0,0.4,0.1,0.7,0.175,0.9,0.225,0.3,0.075,0.5,0.125,0,0
4,1.6,0.8,0.9,0.45,1.2,0.6,1.3,0.65,1,0.5,1.3,0.65,1.3,0.65
1,0,0,0,0,1.4,0.7,1.05,0.525,0,0,1.05,0.525,1.65,0.825
2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.15
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.8,0.4,0.8,0.4,0.8,0.4,0.8,0.4,0.8,0.4,0.8,0.4,1.1,0.55
1,2,1,1.55,0.775,1.7,0.85,1.7,0.85,1.35,0.675,1.45,0.725,2,1
2,0.3,0.15,0.4,0.2,0.4,0.2,0.2,0.1,0.4,0.2,0.3,0.15,0.3,0.15
3,3,0.75,2.2,0.55,3.1,0.775,2.7,0.675,2.7,0.675,2.8,0.7,3,0.75
4,1.6,0.8,1.4,0.7,1.4,0.7,1.3,0.65,1.3,0.65,1.4,0.7,1.3,0.65
1,1.6,0.8,0.75,0.375,1.5,0.75,0.95,0.475,1.25,0.625,1.15,0.575,1.9,0.95
2,0.8,0.4,1,0.5,1,0.5,0.7,0.35,1,0.5,1.05,0.525,1.25,0.625
3,2.2,0.55,2.8,0.7,3,0.75,2.35,0.5875,2.7,0.675,2.85,0.7125,3.45,0.8625
4,0.8,0.4,0.9,0.45,0.9,0.45,1,0.5,1,0.5,1,0.5,1.4,0.7
1,1.1,0.55,1.4,0.7,1.6,0.8,1.8,0.9,1.05,0.525,1.4,0.7,1.6,0.8
2,0.3,0.15,0.2,0.1,0.3,0.15,0.3,0.15,0.3,0.15,0.3,0.15,0.3,0.15
3,1.6,0.4,1.6,0.4,2.2,0.55,2.75,0.6875,2.4,0.6,2.7,0.675,2.7,0.675
4,0.8,0.4,0.8,0.4,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25
1,2,1,1.8,0.9,1.8,0.9,1.8,0.9,1.85,0.925,1.65,0.825,1.45,0.725
2,2,1,1.8,0.9,1.7,0.85,1.8,0.9,2,1,2,1,2,1
3,4,1,4,1,3.6,0.9,4,1,3.4,0.85,3.5,0.875,3.8,0.95
4,2,1,1.6,0.8,1.6,0.8,1.85,0.925,1.7,0.85,1.8,0.9,1.7,0.85
1,1.8,0.9,1.35,0.675,1.7,0.85,1.7,0.85,1.45,0.725,0.95,0.475,1.55,0.775
2,0.8,0.4,0.3,0.15,0.3,0.15,0.5,0.25,0.3,0.15,0.3,0.15,0.6,0.3
3,2,0.5,1.8,0.45,1.9,0.475,2.3,0.575,0.85,0.2125,1,0.25,2.45,0.6125
4,2,1,1.6,0.8,1.2,0.6,1.5,0.75,1.7,0.85,1.5,0.75,1.7,0.85
1,1.8,0.9,1.7,0.85,1.7,0.85,1.25,0.625,1.7,0.85,1.3,0.65,1.6,0.8
2,0.4,0.2,0.6,0.3,0.6,0.3,0.55,0.275,0.68,0.34,0.45,0.225,0.55,0.275
3,1.4,0.35,1.6,0.4,1.6,0.4,2.55,0.6375,1.4,0.35,1.5,0.375,2.1,0.525
4,0.8,0.4,1.2,0.6,1.2,0.6,0.8,0.4,0.8,0.4,0.8,0.4,1.1,0.55
1,2,1,1.6,0.8,1.95,0.975,1.8,0.9,1.65,0.825,1.8,0.9,2,1
2,1,0.5,1.5,0.75,1.6,0.8,1.25,0.625,1.7,0.85,1.4,0.7,1,0.5
3,3.1,0.775,3,0.75,2.9,0.725,3.65,0.9125,3.3,0.825,3.3,0.825,3.55,0.8875
4,2,1,1.6,0.8,1.5,0.75,1.7,0.85,1.4,0.7,1.65,0.825,1.6,0.8
1,1.6,0.8,1.25,0.625,1.8,0.9,2,1,1.55,0.775,1.35,0.675,1.7,0.85
2,0.4,0.2,0.4,0.2,0.5,0.25,1.9,0.95,0.65,0.325,0.5,0.25,0.4,0.2
3,1,0.25,0.4,0.1,0.7,0.175,1.25,0.3125,0,0,0.65,0.1625,1.4,0.35
4,2,1,1.6,0.8,1.6,0.8,1.7,0.85,2,1,2,1,2,1
1,2,1,1.6,0.8,1.9,0.95,1.75,0.875,1.4,0.7,2,1,1.7,0.85
2,0.8,0.4,0.4,0.2,0.4,0.2,0.5,0.25,0.1,0.05,0.35,0.175,0.5,0.25
3,1.2,0.3,0.6,0.15,0.8,0.2,1.6,0.4,0.9,0.225,0.8,0.2,1.55,0.3875
4,0.8,0.4,0.8,0.4,0.9,0.45,1.2,0.6,1.2,0.6,1.2,0.6,1.05,0.525
