questao,True Grade,True Grade Normalized,o4-mini-high grade,o4-mini-high normalized grade,gemini-2.5-pro grade,gemini-2.5-pro normalized grade,gemini-2.5-flash grade,gemini-2.5-flash normalized grade,o4-mini-high-review grade,o4-mini-high-review normalized grade,gemini-2.5-pro-review grade,gemini-2.5-pro-review normalized grade,gemini-2.5-flash-review grade,gemini-2.5-flash-review normalized grade
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
2,2,1,2,1,2,1,2,1,2,1,2,1,2,1
3,2,1,2,1,2,1,2,1,2,1,2,1,2,1
4,2,1,2,1,2,1,2,1,2,1,2,1,2,1
5,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,1.5,0.75,1.5,0.75,1.5,0.75,1.5,0.75,1.5,0.75,1.5,0.75,1.75,0.875
2,2,1,2,1,2,1,2,1,2,1,2,1,2,1
3,2,1,2,1,2,1,2,1,2,1,2,1,2,1
4,2,1,2,1,2,1,2,1,2,1,2,1,2,1
5,1.6,0.8,1.6,0.8,2,1,1.6,0.8,1.6,0.8,2,1,1.6,0.8
1,1.5,0.75,2,1,2,1,1.8,0.9,2,1,1.5,0.75,1.5,0.75
2,1,0.5,1.75,0.875,1.75,0.875,1.75,0.875,1.75,0.875,1.75,0.875,1.75,0.875
3,1.6,0.8,2,1,2,1,1.8,0.9,2,1,2,1,2,1
4,0.7,0.35,0.7,0.35,0.7,0.35,0.85,0.425,0.7,0.35,0.7,0.35,1.05,0.525
5,1.3,0.65,1.3,0.65,1.3,0.65,1.3,0.65,1.3,0.65,1.3,0.65,1.3,0.65
1,1.5,0.75,1.5,0.75,1.5,0.75,1.75,0.875,1.5,0.75,1.5,0.75,1.75,0.875
2,1.5,0.75,2,1,2,1,2,1,2,1,2,1,2,1
3,1.7,0.85,2,1,2,1,2,1,2,1,2,1,2,1
4,1.4,0.7,2,1,2,1,2,1,2,1,2,1,2,1
5,1.6,0.8,2,1,2,1,2,1,2,1,2,1,2,1
1,1,0.5,1.5,0.75,1.5,0.75,1.25,0.625,1,0.5,0.5,0.25,1,0.5
2,0.5,0.25,1.5,0.75,1,0.5,1.25,0.625,1.5,0.75,1.5,0.75,1,0.5
3,0.9,0.45,1.4,0.7,1.4,0.7,1.55,0.775,1.7,0.85,1.4,0.7,1.85,0.925
4,0.4,0.2,0.7,0.35,0.7,0.35,0.7,0.35,0.7,0.35,0.7,0.35,0.7,0.35
5,0.8,0.4,2,1,2,1,1.6,0.8,2,1,2,1,1.6,0.8
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
2,2,1,2,1,2,1,2,1,2,1,2,1,2,1
3,0.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0
4,2,1,2,1,2,1,2,1,2,1,2,1,2,1
5,0,0,0.3,0.15,0.3,0.15,0.3,0.15,0,0,0.3,0.15,0.3,0.15
1,2,1,2,1,1.5,0.75,2,1,2,1,2,1,2,1
2,2,1,1.75,0.875,2,1,2,1,2,1,2,1,1.5,0.75
3,1.7,0.85,2,1,1.7,0.85,2,1,2,1,1.7,0.85,2,1
4,2,1,2,1,2,1,2,1,2,1,2,1,2,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.5,0.75,2,1,1.5,0.75,1.75,0.875,2,1,1.75,0.875,1.75,0.875
2,1.8,0.9,2,1,1.25,0.625,1.5,0.75,1.75,0.875,2,1,2,1
3,2,1,2,1,2,1,2,1,2,1,2,1,2,1
4,1.4,0.7,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5
5,2,1,2,1,2,1,2,1,2,1,2,1,2,1
1,1,0.5,1.5,0.75,1,0.5,1.5,0.75,1.5,0.75,1.5,0.75,1.5,0.75
2,1,0.5,1.5,0.75,1.5,0.75,1.5,0.75,1.5,0.75,1.5,0.75,1.5,0.75
3,1.4,0.7,1.4,0.7,1.7,0.85,1.7,0.85,2,1,1.7,0.85,1.7,0.85
4,0.7,0.35,0.7,0.35,0.7,0.35,0.7,0.35,0.7,0.35,0.7,0.35,0.7,0.35
5,0.8,0.4,1.3,0.65,1.3,0.65,1.3,0.65,1.3,0.65,1.3,0.65,1.3,0.65
1,1,0.5,2,1,2,1,2,1,2,1,2,1,2,1
2,0.8,0.4,1.75,0.875,1.5,0.75,1,0.5,1.75,0.875,1.75,0.875,1.5,0.75
3,1.1,0.55,1.4,0.7,1.1,0.55,1.4,0.7,1.4,0.7,1.1,0.55,1,0.5
4,0.3,0.15,0.7,0.35,0.7,0.35,0.7,0.35,0.7,0.35,0.7,0.35,0.7,0.35
5,0.3,0.15,2,1,1,0.5,1.5,0.75,2,1,1.5,0.75,1.5,0.75
